Rank,Score,Province,Region,Ranking_Year
76th,28.9758,Sorsogon,REGION V (Bicol Region),2021
77th,28.7937,Basilan,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2021
78th,28.2394,Northern Samar,REGION VIII (Eastern Visayas),2021
79th,27.0458,Lanao Del Sur,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2021
80th,25.7325,Tawi-Tawi,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2021
81st,20.7937,Sulu,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2021
82nd,18.3369,Eastern Samar,REGION VIII (Eastern Visayas),2021
1st,51.5573,National Capital Region,NATIONAL CAPITAL REGION (NCR),2022
2nd,40.2271,Rizal,REGION IV-A (CALABARZON),2022
3rd,37.6802,Cavite,REGION IV-A (CALABARZON),2022
4th,37.4216,Davao Del Norte,REGION XI (Davao Region),2022
5th,37.2091,Laguna,REGION IV-A (CALABARZON),2022
6th,36.5753,Camiguin,REGION X (Northern Mindanao),2022
7th,35.9962,Basilan (IX),REGION IX (Zamboanga Peninsula),2022
8th,34.5233,Davao Del Sur,REGION XI (Davao Region),2022
9th,33.8496,Bataan,REGION III (Central Luzon),2022
10th,33.1494,South Cotabato,REGION XII (Soccsksargen),2022
11th,33.1346,Bulacan,REGION III (Central Luzon),2022
12th,33.0947,La Union,REGION I (Ilocos Region),2022
13th,32.9052,Pampanga,REGION III (Central Luzon),2022
14th,32.7967,Ilocos Norte,REGION I (Ilocos Region),2022
15th,32.7639,Batangas,REGION IV-A (CALABARZON),2022
16th,32.641,Albay,REGION V (Bicol Region),2022
17th,32.6078,Tarlac,REGION III (Central Luzon),2022
18th,32.4372,Misamis Oriental,REGION X (Northern Mindanao),2022
19th,32.3514,Aurora,REGION III (Central Luzon),2022
20th,32.1505,Marinduque,REGION IV-B (MIMAROPA),2022
21st,32.0106,Oriental Mindoro,REGION IV-B (MIMAROPA),2022
22nd,31.9686,Pangasinan,REGION I (Ilocos Region),2022
23rd,31.8736,Davao De Oro,REGION XI (Davao Region),2022
24th,31.8247,Davao Oriental,REGION XI (Davao Region),2022
25th,31.3557,Ilocos Sur,REGION I (Ilocos Region),2022
26th,31.3064,Cotabato (North Cotabato),REGION XII (Soccsksargen),2022
27th,31.1615,Surigao Del Norte,REGION XIII (Caraga),2022
28th,31.1205,Isabela,REGION II (Cagayan Valley),2022
29th,31.0544,Nueva Ecija,REGION III (Central Luzon),2022
30th,31.0502,Sarangani,REGION XII (Soccsksargen),2022
31st,30.8772,Quezon,REGION IV-A (CALABARZON),2022
32nd,30.7996,Aklan,REGION VI (Western Visayas),2022
33rd,30.746,Guimaras,REGION VI (Western Visayas),2022
34th,30.7373,Quirino,REGION II (Cagayan Valley),2022
35th,30.6527,Iloilo,REGION VI (Western Visayas),2022
36th,30.6364,Bohol,REGION VII (Central Visayas),2022
37th,30.553,Bukidnon,REGION X (Northern Mindanao),2022
38th,30.5225,Ifugao,CAR - Cordillera Administrative Region,2022
39th,30.5191,Davao Occidental,REGION XI (Davao Region),2022
40th,30.3301,Occidental Mindoro,REGION IV-B (MIMAROPA),2022
41st,30.2525,Cagayan,REGION II (Cagayan Valley),2022
42nd,30.0509,Cebu,REGION VII (Central Visayas),2022
43rd,29.8733,Dinagat Islands,REGION XIII (Caraga),2022
44th,29.4079,Benguet,CAR - Cordillera Administrative Region,2022
45th,29.3079,Agusan Del Sur,REGION XIII (Caraga),2022
46th,29.2707,Maguindanao,,2022
47th,29.2569,Zamboanga Del Sur,REGION IX (Zamboanga Peninsula),2022
48th,29.2349,Camarines Sur,REGION V (Bicol Region),2022
49th,29.205,Camarines Norte,REGION V (Bicol Region),2022
50th,29.1799,Agusan Del Norte,REGION XIII (Caraga),2022
51st,29.1627,Kalinga,CAR - Cordillera Administrative Region,2022
52nd,29.0853,Mountain Province,CAR - Cordillera Administrative Region,2022
53rd,29.0462,Sultan Kudarat,REGION XII (Soccsksargen),2022
54th,29.0407,Zambales,REGION III (Central Luzon),2022
55th,29.0115,Misamis Occidental,REGION X (Northern Mindanao),2022
56th,28.8895,Zamboanga Del Norte,REGION IX (Zamboanga Peninsula),2022
57th,28.7792,Biliran,REGION VIII (Eastern Visayas),2022
58th,28.7558,Capiz,REGION VI (Western Visayas),2022
59th,28.7345,Nueva Vizcaya,REGION II (Cagayan Valley),2022
60th,28.6938,Samar (Western Samar),REGION VIII (Eastern Visayas),2022
61st,28.6579,Siquijor,REGION VII (Central Visayas),2022
62nd,28.6184,Leyte,REGION VIII (Eastern Visayas),2022
63rd,28.45,Negros Occidental,REGION VI (Western Visayas),2022
64th,28.4131,Southern Leyte,REGION VIII (Eastern Visayas),2022
65th,28.3147,Negros Oriental,REGION VII (Central Visayas),2022
66th,27.9012,Romblon,REGION IV-B (MIMAROPA),2022
67th,27.8886,Surigao Del Sur,REGION XIII (Caraga),2022
68th,28.6777,Sorsogon,REGION V (Bicol Region),2022
69th,27.7238,Lanao Del Norte,REGION X (Northern Mindanao),2022
70th,27.5777,Catanduanes,REGION V (Bicol Region),2022
71st,27.4922,Zamboanga Sibugay,REGION IX (Zamboanga Peninsula),2022
72nd,27.0261,Antique,REGION VI (Western Visayas),2022
73rd,26.657,Palawan,REGION IV-B (MIMAROPA),2022
74th,26.3237,Northern Samar,REGION VIII (Eastern Visayas),2022
75th,26.7116,Apayao,CAR - Cordillera Administrative Region,2022
76th,25.4537,Abra,CAR - Cordillera Administrative Region,2022
77th,25.2499,Lanao Del Sur,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2022
78th,25.0854,Eastern Samar,REGION VIII (Eastern Visayas),2022
79th,24.1173,Tawi-Tawi,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2022
80th,22.9991,Masbate,REGION V (Bicol Region),2022
81st,22.8291,Batanes,REGION II (Cagayan Valley),2022
82nd,17.2784,Basilan,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2022
83rd,15.047,Sulu,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2022
